original_text,augmented_text,intermediate_english
秋千 硬币 扑克牌 汉服 猎狗 宗教 门缝 舅舅 电梯 花海 手机 答案 mj,秋千、硬币、扑克、中国服装、狗、宗教、缝合、叔叔、电梯、花、手机、Mj。,"The swings, coins, pokers, Chinese costumes, dogs, religion, sewn-up, uncles, elevators, flowers, cell phones, mj."
秋已尽 冬可期 济南济南森林公园,秋天结束了 冬天很好,Autumn is over. Winter is good.
早上没吃饭，本来十二点都快饿晕了，结果出来吃饭吃两口就不饿了,我早上没吃东西 12点饿着肚子 不想吃两次,"I didn't eat in the morning. I was starving at 12, and I didn't want to eat twice."
电话姐的终结者,呼叫者终结者,Caller's Terminator.
搞兴趣爱好时执行力简直是100，注意力高度集中什么都不玩不看，没兴趣时拖延症大暴发,"这是100的爱好, 注意力集中, 什么都没有, 而且有很多延迟 当没有兴趣。","It's 100 for hobbies, attention is focused, nothing at all, and there's a lot of delay when no interest."
那边在篝火晚会 而孩子只对感兴趣,有个营火派对 孩子们只感兴趣,"There's a bonfire party, and the kids are only interested."
周末喂三部好片 记录一下,周末有三部好电影,Three good movies for the weekend.
今年第Ｎ次在广州旅游,"今年,第一次在广州","This year, for the first time in Guangzhou,"
再见这个我来了三天在高铁站总共待了十个小时的sjz,"再见,我在这里待了三天,在高站十小时,SJZ","Good-bye. I've been here for three days. Ten hours at the high station, sjz."
大概是这样 刮了一下风然后就没了,"我想是的,一阵风就没了",I guess so. A little wind and it's gone.
奶牛猫，面罩猫，蝙蝠侠猫。,牛仔 面具猫 蝙蝠侠猫,"Cowcat, mask cat, Batman Cat."
空气中有一种老式冲粉色素奶茶味,空气中有一种古老的粉红色奶茶气味,There's an old pink milk tea smell in the air.
爸爸在家的一天生活日记,爸爸在家的日记,Dad's daily diary at home.
初一日出,一天的第一天。,The first day of the day.
春节日记 柘城篇 商丘柘城,"春节日记, Quantico, Quantico.","Spring Festival diary, Quantico, Quantico."
分享新鲜事,分享新的东西。,Share something new.
善恶终有报,善恶必终结,Good and evil will come to an end.
请查收朋友圈同步 绍兴 你好 拜拜 绍兴,请检查朋友的圆圈以同步 。,Please check the circle of friends for synchronisation.
嗯嗯 济南山东博物馆,济南山东博物馆,Uh-huh. Jinan Shandong Museum.
生命的意义是什么？ 体验！,生命的意义是什么?,What's the meaning of life?
今日早餐一个花卷，一杯咖啡奶，2个鸡蛋，一个苹果,今天早餐一卷 一杯咖啡牛奶 两个鸡蛋 一个苹果,"One roll for breakfast today, one coffee milk, two eggs, one apple."
毛不易东北民谣 东北民谣,毛泽东不可能是东北民歌,♪ Mao can't be a northeast folk song ♪
果然歌都是承载记忆的,"我敢肯定,这一切都是一个记忆。",I'm sure it's all a memory.
20250406,20200406,20250406
也是可以要价和上三亚了,你可以要求价格和三亚,You can ask for a price and Sanya.
每日一图,每天一个。,One per day.
以后见面要拍照,我们晚点再拍照吧,We'll have to take pictures later.
今天是徐州肉酱米粉 日食记,今天是苏州肉酱米粉,Today is Xuzhou meat sauce rice powder.
换了无数发色 染黑是最终的归宿,"你的头发上有很多颜色, 和它的结束。","There's a lot of color in your hair, and it's the end of it."
今天又是暴汗的一天,今天又出汗了,It's another sweaty day.
Monday night Work play balance,今天晚上晚上 工作打球,Today night Work play ball
新买的六初花和橙菠萝，六初花的茎像香莴笋，橙菠萝的叶子摘的我头疼,"新的六朵花和橙色菠萝, 六朵花的跑腿就像树枝, 橙色菠萝的叶子让我头痛。","The new six flowers and orange pineapple, the six floweres' runners are like twigs, the orange pineapple's leaves pick my head ache."
： 摄影,摄影,Photography
我的花和他的包,我的花和他的包,My flowers and his bag.
确实如此！,没错!,That's true!
不懂这一锅的有难了,很难不理解这个锅,It's hard not to understand this pot.
算了有算了的道理,忘记它是有道理的。,It makes sense to forget it.
书上都说，人人渴望爱情 没有爱情也不会死呀,书上说每个人都想要爱 并且不会没有爱而死,It says in the book that everyone wants love and will not die without love.
分享单曲 Self (),共享单自( S),Share Single Self()
不知道英国现在是什么天气 反正我这里是晴天,我不知道英国是什么样的天气,I don't know what kind of weather it is in England.
分享单曲 Sha La La (),共享单 sha La La La (),Share Single Sha La La()
虽然每次测试都是J人 我还不信 逐渐发现我好像是有点J,难以置信,I don't believe it.
小蓝背心世界真疯狂 世界真疯狂 （）,蓝背心世界太疯狂了 世界太疯狂了,Blue vest world is crazy. World is crazy.
想去借个action4来用 不知道最终有没有成功,我想借用四号动作 我不知道是否有效,I'd like to borrow an action four. I don't know if it worked.
中国家庭菜的灵魂是生抽吧？刷到做菜视频，几乎全是生抽老抽耗油其他调味。,中国家菜的灵魂是生的吗?几乎所有烹饪视频都是生的、抽油和其他口味的。,The soul of the Chinese home dish is raw? Almost all the cooking videos are raw and oil-smoking and other flavors.
祖国不会忘记。,祖国不会忘记的,Motherland will not forget.
截止630要将上班一年的生活消费开支（包含旅游）控制在22w内 目前还有3k可以花,"到630年,一年工作(包括旅游业)的生活费为22w, 3k仍可支用。","By 630, the cost of living for one year of work (including tourism) is contained in 22w and 3 k can still be spent."
暴走第一天。,暴风雨的第一天,First day of the storm.
我就这样评论设计师做的图,这就是我如何评论设计师的图画。,That's how I'm commenting on the designer's drawings.
这样看我长居居了,这就是我的生活方式,That's how I live.
开启飞行模式,启动飞行模式,Activate flight mode.
金刚经四句偈,我有四个句子,I've got four sentences.
早早的洗漱完成 等待着春晚到来 不乐意跟妈妈合影的妹妹,"早洗澡已经做完, 等待春天到来迟, 不愿与妈妈的妹妹拍照。","Early bathing is done, waiting for spring to arrive late and not willing to take pictures with Mom's sister."
开车都快睡着的人，机缘巧合，今天竟然又来健身了是有多爱 日常碎片plog 哈尔滨,你今天来这里是巧合 是为了弄清楚你有多爱它,It's a coincidence that you're here today to work out how much you love it.
9月的plog,9月9日的页面,September's page
排队的尽头，是排队 北京侏罗纪世界努布拉岛,"在终点,有一条线 在恩布拉岛, 侏罗纪世界,北京。","At the end of the line, there's a line on Nbra Island, Jurassic World, Beijing."
路过班加罗尔的议会大厦，有集会活动未能进入参观，某人正在激情地演讲。讲的印度语完全不知道在说啥,"通过班加罗尔的议会大楼, 一个集会是不能被访问的, 有人正在热情地说话。不知道印地语在谈论什么。","Passing through the parliamentary building in Bangalore, there's a rally that can't be visited, and someone is speaking passionately. There's no idea what the Hindi language is talking about."
当我问DS我的公众号：,当我问DS我的公开号码:,When I asked DS my public number:
一些楼外 三四月的,"3月/4月,一些在户外。",Some outside in March/April.
今天天气超好！但是超冷,"今天天气不错,好冷啊",It's a great day! But it's so cold!
好久没唱有一点动心,我很久没唱过歌了,It's been a while since I sang a little bit.
狗狗讨饭（bushi,布什,Bushi.
1100点多睡的，每天接近1000才爬的起来,睡在1100多岁 每天接近1000人,"Sleeping at over 1100, getting up close to 1,000 a day."
匆匆得来，又匆匆得走了,"我们赶时间,我们得再去一次",We're in a hurry. We have to go again.
电影电影，看电影,"电影,电影。","Films, movies."
我还是喜欢一成不变的生活,我还是喜欢过同一个人的生活,I still like living the same life.
点了个远一点好评多的东北麻辣烫 配送费四块多,东北的热量远达4美元以上,A far-fetched Northeast hot and over $4 for delivery.
太久太久,太长了,Too long.
四年啦 我来这里也四年啦,"四年了,我在这里已经四年了",Four years. I've been here four years.
吃个米线 上海上汤云南过桥米线卤烤(虹桥南丰城店),"吃米线,去海边渡过大米线。","Eat a rice line, go to the sea and cross the bridge rice line."
前面两张是一只狗 下面两张是另外一只狗,"前两个是狗,下两个是另一只狗",The first two are a dog. The next two are another dog.
今天超长待机12h,今天是12小时长的航班,It's a long flight of 12h today.
第一本这是buff叠满,第一个是垃圾堆,The first one is a buff stack.
今天的穿搭感觉还差一支,今天的裙子好像不见了,Today's dress feels like it's missing.
我喊他韩国人 他说我骂人,我叫他韩国人 他说我是诅咒,I called him a Korean. He said I was a curse.
是乖乖豆儿,是个好孩子,It's a good boy.
实时更新ip好吗 海口,如何实时更新 IP?,How about a real-time update of the ip?
分享单曲 今年勇 (),今年分享一首歌,Share a single song this year
2025222,2025-222,2025222
嗯嗯嗯嗯,"嗯,嗯。 不错。",Mm-hmm.
广告都这么清新,广告太新鲜了,The ads are so fresh.
冰冰凉凉,天气好冷 冷 冷 冷 冷 冷,It's cold.
原来饿死线下活动是组合快闪店啊,"事实证明,我们是在 饥饿线下。",It turns out we're running under the hunger line.
怎么快十二点了，哈哈。,都快午夜了 哈哈,"It's almost midnight, ha ha."
走了走。,走开,Go away.
做有梗女人,像个婊子。,Be a bitch.
昨晚补记，一边搬砖一边聊余华,"昨晚,我拿了砖头,谈起了尤华","Last night, I took the bricks and talked about Yuhua."
送行の小猫咪 临沂,"送出猫,猫,猫,猫。","Send out the cat, the cat, the cat."
封山控峪通告,对山的放逐。,Banishment of the mountain.
浅截一张,浅一个。,A shallow one.
有感：我可以为自己的任何决定买单 但我不能拉上别人,感觉我可以为我所做的任何决定付出代价 但我不能拉别人。,"Feels like I can pay for any decision I make, but I can't pull someone else."
突然翻到这张,"突然间,我得到了这个。","All of a sudden, I got this one."
本来懒得发了但又觉得做了不发怪可惜的,"我不认为我会厌倦它, 但我不觉得太遗憾了。","I didn't think I'd get tired of it, but I didn't feel too bad about it."
生活归于平淡,生活是平坦的。,Life is flat.
别人野餐：听音乐，聊天，打牌，桌游，放风筝； 我野餐：吃吃吃，吃完溜个弯消消食。,其他人的野餐:听音乐、聊天、打牌、走桌、玩风筝;我有野餐:吃、吃、吃。,"Other people's picnics: listening to music, chatting, playing cards, table-walking, kite playing; I have picnics: eating, eating, eating."
诶，我突然反应过来，李老板说我瘦了是因为今天过节吧。,我突然发现李先生说我瘦了 因为那是节日,"Well, I suddenly noticed that Mr. Lee said I lost weight because it was a holiday."
出门在外 走哪顺哪,你出城了 你哪儿都去不了,You're out of town. You can't go anywhere.
今天份照片有点i,今天有点像照片,It's kind of a picture today.
今日画作,今天的画。,Today's painting.
2月17日，乙巳年正月二十，南湖走一圈。这几天雾雨朦朦。随拍记录生活 雨,"2月17日,6月20日,B. A. 南湖环绕一个圆圈","On February 17th, June 20th, B.A., South Lake walks a circle. These days, it's foggy."
看大家玩双影奇境感觉好好玩呜呜呜呜日常缺一个游戏搭子,看到你玩双视奇境真有趣,It's so fun to see you play double-vision wonderland.
广西篇结束啦老老实实回深打工日常 阳江,"广西完了,你又回去工作了",Guangxi is finished and you're back to work.
当你喜欢学习成绩好的而碰巧对方对学习成绩方面很低调时,当你喜欢学习成绩优异 成绩又低调的时候,"When you like to study with good grades and happen to have a low profile on your grades,"
Day 25 练饿了,"第25天,饿了。","Day 25, hungry."
我们晶体人就是能忍 能冷脸洗内裤啊,"我们水晶可以承受,我们可以洗内衣冷",We crystals can take it. We can wash our underwear cold.
tahpylkb,我不知道。 。 。,I don't know.
忍住，不要说。,"等等,别这么说","Hold on, don't say that."
哪次喝完酒都得整几张,每次喝完酒我都要吃两片,I'll have to take a couple of them after each drink.
这一场大学生全是青岛判官,"在这种情况下,所有学生都是青岛法官。","In this case, all the students are Qingdao Judges."
413 985 周末的胡吃海塞自己没拍一些吃的照片,"周末有413,985 我们没有拍到我们吃东西的照片","413,985 on the weekends, we didn't take any pictures of ourselves eating."
午餐不知道吃什么之那就回家自制减脂餐,我不知道午餐吃什么 所以我回家自己做肥肉,"I don't know what to eat for lunch, so I'll go home and make my own fat."
凌老师的言语攻击力大家还是很认可的,凌先生的口头攻击仍然得到普遍接受。,Mr. Ling's verbal attacks are still well accepted.
吃了几袋魔芋爽 几片藕片 安心睡觉了,我吃了几袋华夫饼 几片薯片 我睡着了,"I've had a couple of sacks of waffles, a few pieces of chips, and I've been asleep."
听说失眠夜和读书更配哦,我听说不睡觉的夜晚更适合看书,I heard sleepless nights are better for reading.
en怎么说呢,你说什么?,What do you say?
现在养成一个坏习惯 特别爱嚼冰块,现在嚼冰是坏习惯了,Now it's a bad habit to chew ice.
感觉今天见了1000只狗,我觉得我今天看到1000只狗了,"I feel like I've seen 1,000 dogs today."
这回俺们小区的垃圾桶被铁丝捆住固定了，以防被大风吹倒，将垃圾吹跑。上次是满地狼藉。,"这一次,我们邻居的垃圾桶被绑在电线上 以防风吹走它们","This time, the trash cans in our neighborhood are tied up with wires in case the wind blows them away. Last time, they were full of shit."
这推荐的是什么地点 我要试试 南京王八蛋,推荐地点在哪里?,What's the recommended location?
感觉自己真的有点精神上的疾病哈,我觉得我真的有点精神病,I feel like I'm really a little mentally ill.
周末碎片 总是等到周一发哈哈,周末的碎片总是等到星期一,Weekend fragments always wait till Monday.
劳模是吧,"劳莫,对吧?","Laumo, right?"
宝石，，宝石，，,宝石 宝石 宝石,"The gems, the stones,"
vlog的原始素材有50分钟,Vlog的原材料为50分钟。,The raw material of vlog is 50 minutes.
我嘟的贵女好看吗,你觉得我好看吗?,Do I look good to you?
不管两点睡还是三点睡，每天八点准时醒,两三点睡 每天八点醒来,"Sleep at two or three, wake up every day at eight."
"光合作用具象化 不知道为啥左边是吐泡泡伴随""叽""一声，右边的是一长串","我不知道为什么左侧的泡泡 伴随着一声爆炸, 但右侧有一个很长的绳子。","I don't know why the bubbles on the left were accompanied by a bang, but there was a long string on the right."
额蒽我们明日方舟玩家是这样的,我们的方舟玩家明天就是这个,That's what our ark player is tomorrow.
好久没有吃过豆腐脑了,好久没吃豆腐了,It's been a long time since I've had tofu brain.
早 广州英东体育场,"早上好,广州广州仁东体育馆","Morning, Indong Stadium, Guangzhou"
流水它带走光阴的故事 时间确实是一剂良药种树 美好的世界，晚安,"水被夺走的故事... 时间确实是一棵好药树... 一个美好的世界,晚安","The story of the water that's taken away with it... time is indeed a good medicine tree... a wonderful world, good night."
0000,十万,One hundred thousand.
阿牛这首歌的歌名和它的曲调感觉反差好大 像一个朴实无华的农民伯伯在香港赚了很多钱周五准备下班,奥克斯的歌和这首歌的调子大不相同 就像一个普通的农民叔叔 周五在香港挣了很多钱放假,"Ox's song is so different from the song's tune, like a simple peasant uncle who earns a lot of money in Hong Kong to get off on Friday."
昨天忘发忘记录,我昨天忘了我的记录,I forgot my record yesterday.
我是一块不蓬松的小面包,我是一块面包。,I'm a piece of bread.
很喜欢莎士比亚的一句话： 打工赚不了几个钱，但是多打几份工可以让你没时间花钱 。,"我喜欢莎士比亚的说法 工作不会赚很多钱, 但工作多一些 会让你没有时间花。","I like Shakespeare's saying that working doesn't make a lot of money, but working a few more will give you no time to spend."
日推说的，不是我,"这不是我,不是我",It's not me. It's not me.
带娃睡觉,带宝宝上床睡觉。,Take the baby to bed.
什么时间该干什么事还是有一定的道理的。如果你无法和时间做朋友，那么它就会成为你的敌人。,"如果你不能和时间做朋友,那就是你的敌人","There's a reason for what time to do. If you can't be friends with time, it'll be your enemy."
谁愿意给我推文,谁会给我发推特?,Who'd give me a tweet?
Day5,第5天,Day5
十五的月亮十六圆，那十六拍的月亮十七发也很合理,月亮15岁 月亮16岁 月亮17岁 月亮16岁,"Fifteen for the moon, 16 for the moon, and 17 for the 16 for the moon."
比文的脑壳太大了，带上去圆不溜秋的对了说到大,贝文的脑袋太大了 转一圈 很大,Bevin's head is too big. Take it round. It's big.
Strasbourg  St Denis,斯特拉斯堡圣丹尼斯,Strasbourg St Denis
2025年2月 End 月报,2025年2月 月底月度报告,February 2025 End Monthly Report
事到如今我只能说一句，大预言家,我现在只能说一件事 先知,"I can only say one thing now, the prophet."
国庆在家里的结果 上海中金海棠湾,7月4日在家里举行的 活动的结果。,The results of the Fourth of July at home.
厨余垃圾分类 烟台泉水坊,"垃圾被归类为废物, 并有一个烟池。","Garbage is classified as waste, and there's a pool of smoke."
22432,22432。,22432.
记大年初二,今年第二年。,2nd of the year.
：我要戒酒 ：,我想戒酒:,: I want to quit drinking:
最近少吃点,我最近没什么吃的,I don't have much to eat lately.
路上看到一个鲁B的车 脑子里就开始鲁A济南车，鲁B青岛的,"在路上,我看到一辆鲁比的车, 在我脑海中,它从青岛的鲁阿齐南开始。","On the way, I saw a Rube's car, and in my head, it started with the Ruazinan, from Qingjia."
搜到了颜如晶的xhs 她性格变好多啊,她变了很多,She's changed a lot.
每天晚上俩儿子在我身上叠罗汉，早上起来俩人都挤在我枕头上，我动都不敢动 这是一种新型血脉压制吗,"每天晚上,两个儿子折叠在我身上, 早上,他们都卡在我的枕头上, 我动不了。","Every night, two sons folded on me, and in the morning, they were both stuck on my pillow, and I couldn't move."
睡的最规律的一集,最常睡觉的,The most regular episode of sleep.
特种兵的一天开始了,特种部队的第一天开始,The day of the Special Forces begins.
皮蛋豆腐 剥核桃剥核桃,豆腐 核桃 核桃 核桃,"Skin tofu, walnuts, walnuts."
七月的一些 日常,"7月的某个日子,一天到一天。","Some of July, day to day."
i人独自逛博物馆啦,我一个人去博物馆,I'm going to the museum alone.
我们家现在已经到了烧一盘鱼 只有我一个人吃的地步了 我爸妈已经默认我可以一个人吃完一整盘了,我的家人已经在烧鱼盘了 而我是唯一一个吃鱼的人,"My family is already burning a plate of fish, and I'm the only one who eats it."
降维消费，旧物改造，开始各种断舍离,分解消费 改造旧物 各种消散,"Decomposition consumption, retrofitting of old things, all kinds of dissipation."
脑子还是得动动，真的会生锈,"你仍然必须动动你的头脑,它非常生锈。",You still have to move your mind. It's really rusty.
今日奇谈,今天的谈话,Today's talk.
十点二十五到十一点四十 千岛湖龙山岛,"10: 25至11: 40,龙湖岛","10:25 to 11:40, Lake Dragon Island."
旅行的意义,旅行的意义。,The meaning of travel.
叽里咕噜,基里高伦,Kiri Gollum.
原来睡觉还分C位,所以我们还在C睡觉,So we're still in C-sleeping.
Day2499 周六  雨天 午后 咖啡馆,周六2499天 下雨日,Day2499 Saturday. Rainy day.
苏鲤dk时候,在沙墙日记上,At the time of the Sandwall dk.
开学一个人的逛街plog,开始一个家伙的购物页面。,Starting a guy's shopping page.
今天烤饼披萨,今天是烤披萨,It's baked pizza today.
今晚感觉不怎么饿，就是困。 广州广州集装箱码头有限公司生活大院,"今晚我不觉得很饿,但我困了","I don't feel very hungry tonight, but I'm sleepy."
我的态度：,我的态度:,My attitude:
今天练了,我今天练习过,I practiced today.
工作 应酬 每个人都不容易,"工作,报酬,对每个人都不容易","Work, pay. It's not easy for everyone."
这是有谁来过？ 兰州新港城,谁来过这里?,Who's been here?
513百视TV 。,513台视觉电视,513 vision TV.
还处于这个阶段,它仍然在这个阶段。,It's still at this stage.
夹克之 牛仔夹克棒球夹克 飞行夹克机车夹克,外套 牛仔夹克 棒球夹克 飞行夹克 自行车夹克,"The jacket. The cowboy jacket, the baseball jacket, the flying jacket, the bike jacket."
分享新鲜事,分享新的东西。,Share something new.
还是大狮子可爱丫 处女太严谨 天蝎太腹黑,"狮子还是可爱的,处女太严格,蝎子太黑","The lion is still cute, the virgin is too strict, the scorpion is too dark."
没素的没素的,"不,不,不,不,没有。","No, no, no, no."
今天走啥都沾一点风,今天风有点大,It's a little windy to go today.
减肥日记day 13 爬坡35min 消耗320左右 跑步机突然自动关机了,"脂肪损失日记第13天,35米高的斜坡, 成本约320美元, 骑师突然关闭。","Fat loss journal day 13, 35min up the slope, cost about 320, and the jockey suddenly shut down."
在浦东机场从南走到北，今天运动量够了 上海上海浦东国际机场2号航站楼,今天我们从南到北在浦东机场 都玩够了,We've had enough exercise today at Pudong Airport from south to north.
它又走了,又不见了,It's gone again.
三月初一 金华燊蘭桥,"3月初,金墙","At the beginning of March, the Golden Wall."
有一瞬间在此地的上床下桌布局中爬上爬下拿东西找东西的时候感觉自己像一只穿梭丛林的猴子,我感觉就像一只猴子在丛林里走过一阵子 当我爬上床下 发现一些东西的时候,I felt like a monkey walking through the jungle for a moment when I climbed up and down to the bottom of my bed and found something.
陈奕迅 又开始循环落花流水,陈健健又开始回收了,Chen Jian Jian is re-cycling again.
别人学历史以史明鉴 我搞历史是古风小女子噫吁嚱,我是一个古老的女人 一直在研究历史,I'm an ancient woman who's been studying history.
可是故事的结局才最重要啊,但故事的结束才是最重要的,But it's the end of the story that matters.
乐，干了半天活，电量还在98，没空，根本没空,"乐乐,半天的功课 电源还是98,是空的","Lok, half a day's work. The power's still 98. It's empty."
打总结突然发现今年穿的羽绒服都是深色的两黑一海军蓝 牛仔裤三条 但是穿着很舒服,"简言之,突然发现 今年的丝绒西装是黑、黑和蓝色的, 配有三条牛仔裤, 但是很舒服。","In summary, it suddenly turns out that this year's velvet suit is dark, dark and blue, with three pairs of jeans, but it's very comfortable."
今日金鹰河西,今天金鹰号在西边,"Today, the Golden Eagle is west."
截至目前做了7个雅思听力test，一直毫无波澜地保持在7,"至今为止,七个优胜者最好的 已经保持原位 没有任何并发症。","So far, seven Ausices' bests have been kept in place without any complications."
毕业十年 以校友身份重回高中 许多记忆均已模糊 只是那会的稚嫩与青涩还挺令人怀念,"毕业十年后,在高中毕业后,作为校友,许多记忆模糊不清,但当时的不成熟和温柔令人回想起过去。","Ten years after graduation, back in high school as an alumni, many memories have been blurred, but the immatureness and tenderness of the time has been reminiscent."
补中秋月亮,来弥补秋月,To make up for the autumn moon.
过六天盼一天的日常,六天后 我们会期待一天的到来,"In six days, we'll be looking forward to a day."
今年年会作品,年度届会制作情况,Productions for the annual session of the year
有一说一 蛋白质确实顶饱,有一件事 蛋白质很好吃,There's one thing. Protein's really good.
202537,202537年,202537
无聊到重温梦色糕点师 初中时期最爱看的动漫 当时的我也想长大后开个甜品店那,"这对梦中的糕点厨师来说太无聊了, 这是一种高中的氛围, 我想长大后开一家甜点店。","It's so boring to the dream pastry chef, it's a high school vibe, and I wanted to grow up and open a dessert shop."
太深了 我生物钟是咋回事 不管多晚睡都是八点半自然醒 太六了 开启新的一天,太深了 我的生理时钟出了什么事 不管我睡到什么时候 都已经8点半了,"It's too deep, what happened to my biological clock, no matter how late I sleep, it's 8:30."
alligator crocodile,鳄鳄鳄,Alligator crocodile
今天练了,我今天练习过,I practiced today.
男高玩手机,男人玩手机游戏,Men playing with mobile phones.
文章的演技 演没本事的窝囊男人挺好的,做个失败者真好,It's good to be a loser.
甘肃环县，零下8度，晨练。 庆阳环县,"甘肃清阳清清清清清清清清清清清清,低8度","Gansu Qing Qingyang Qing Qing Qing Qing Qing, 8 degrees below"
一座古堡 一座孤岛 汕尾海上古堡,一座古老的城堡 一座岛屿 一座古老的海上掩体,"An old castle, an island, an old bunker in the sea."
小黑猫看窗外 要当地时间12点才能抵达呢,12点才能到那里,It's gonna take 12 o'clock to get there.
近期美食,近期美食,Recent cuisine
在站台。,在平台上。,On the platform.
不知道该不该有端联想，但又莫名有点感同身受。,我不知道这是否正确 但有点像,"I don't know if it's right, but it's a little bit like it."
不要想那么多，这个世界上那么多人，堵不住别人的嘴，做好自己的事，少冲动就少犯错,世界上有这么多人不能闭口不谈 做自己的生意 少犯错误,"Don't think so much about it. There's so many people in the world who can't shut people's mouths, do their own business, and make less mistakes."
嗜睡多梦是轻松入眠的副作用,睡梦是睡梦的副作用,Sleepy dreams are a side effect of easy sleep.
【今天的生活 】,今天的生活,Today's life
将头发梳成大人模样了,我的头发长得像个成年人,I've made my hair look like an adult.
心血来潮去原神微博看看，依旧是没有吸引我的地方。没啥成男角色勾我 继续随缘吧,"我们看看它是不是还是不吸引我的东西 一个人对我无能为力,走吧",We'll see if it's still something that doesn't attract me. There's nothing a guy can do to me. Let's go.
加加美伊月辨别砂仁犯belike,"Cammy 月 月 , 确定 石棺 的 虱子",The month of Cammy identified the sarcophagus belice
布洛芬果然说到做到，说可持续12小时止痛就是12小时，多一个钟都不给,Brocken做到了 他说12小时减轻疼痛 还有一个小时,Brocken did it. He said 12 hours for pain relief. One more hour.
值宿到岗,留在岗位上,Stay on duty.
四月 一切顺利,"艾波莉,一切都好","April, everything's fine."
2末 奋笔疾书,在两个结尾。,At the end of two.
总结我的2024,总结一下我的2024年,Summarize my 2024.
早 北京德胜门,"早上好,北京","Morning, Beijing."
在兰州寄了一些牛肉回去，好吃。来夏河坐了好久的车，这里的酒店有点不好，明天要去寺里,"送些牛肉回兰州,很好,好久不见",Send some beef back in Lanzhou. It's good. It's been a long time.
适当吐槽，有利于身心健康,正确吐口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口赞成身心健康,Properly spitting in favour of physical and mental health
伤寒课老师来了后 穿了白大褂 （之前不穿） ：她咋穿白大褂了 卡米拉：装的。,伤寒老师进来时 她穿着白大衣,"When the typhoid teacher came in, she wore a white coat."
年过完了，减脂餐是时候吃起来了,"年底了,该吃饭了",It's the end of the year. It's time to eat.
分享我的设备名,共享我的设备名称,Share my device name
手帐 只有你看见自己，他人才有可能看见你。,"你看你自己,你看别人看你。","You see yourself, you see others see you."
在图书馆如痴如醉地阅读sbrb长篇，这真的对吗。,在图书馆里读到长长的柱子真的很真实,It's really true to read a long sbrb in a library.
每日一图 差点断更的一天萌娃养成记 装模作样爱学习,"每天,每天,几乎每天, 婴儿得到一个标记 并假装爱学习。","Every day, every day, almost every day, the baby gets a mark and pretends to love learning."
小阿枫一生那么长 (DJ亚明版) 一生那么长,玛普的一生如此漫长,Maple's life has been so long.
计划52，结果3 呼吸急促，还是放慢脚步吧 等调整好身体，再继续奔跑吧,"52号计划,结束3号,呼吸,慢点","Plan 52, end three. Breathing. Slow down."
日杂堆积中,日复一日,♪ Day and day ♪
健身的用武之处,利用身体健康。,The use of physical fitness.
练习表情神态就可以看别对我撒谎,"你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道,你知道, 你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,你知道,","You know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, when, you know, when, you know, you, you know, you know, when, you..., you know, you know, you know, when, you know, you know, you know, you know, you know, when, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, when, you know, you know, when, you know,"
少爷午觉睡醒后，不知可否赢得他的亲睐,"当他睡午觉醒来时, 我想知道他能不能赢得他的青睐","When he wakes up from his nap, I wonder if he can win his favor."
偷感很重地制定了学习计划,我制定了一个研究计划 有很高的势利感。,I've developed a study plan with a high sense of snob.
睡觉嘛 睡觉吧 晚安玛卡巴卡,"睡吧,睡吧 晚安,麦卡巴卡","Go to sleep. Go to sleep. Good night, Makabaka."
这一天天的长大 长牙了 还特能叫  快快领养走吧 中午回家搞他们事可太多了 猫咪领养,"我们长大的一天, 我们有牙齿, 而且我们真的很擅长它。","The day we grow up, we've got teeth, and we're really good at it."
